Name*Surname*Surname1*Surname2*Account*Path*Group*DNI*Departament*Enabled*Password*ExpirationAccount*Email*NetTime*Computer
LUIS*NAVARRO RUIZ*NAVARRO*RUIZ*lnavarror*OU=Usuarios-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal*HLP-GG-Prensa*12345678-A*Prensa*yes*P@ssw0rd123!*365*lnavarror@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Prensa-01
SUSANA*ALABAU SANCHO*ALABAU*SANCHO*salabaus*OU=Usuarios-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal*HLP-GG-Prensa*12345679-B*Prensa*yes*P@ssw0rd123!*365*salabaus@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Prensa-02
PEDRO*GOMIS ZAMBUJO*GOMIS*ZAMBUJO*pgomisz*OU=Usuarios-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal*HLP-GG-Prensa*12345680-C*Prensa*yes*P@ssw0rd123!*365*pgomisz@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Prensa-03
JUANA*VALENCIA RUIZ*VALENCIA*RUIZ*pvalenciar*OU=Usuarios-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal*HLP-GG-Prensa*12345681-D*Prensa*yes*P@ssw0rd123!*365*pvalenciar@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Prensa-04
MANUEL*VARGAS COELLO*VARGAS*COELLO*mvargasc*OU=Usuarios-Prensa,OU=Dep-Prensa,dc=hospitallaplana,dc=mylocal*HLP-GG-Prensa*12345682-E*Prensa*yes*P@ssw0rd123!*365*mvargasc@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Prensa-05
JAVIER*ARIAS PUJOL*ARIAS*PUJOL*jariasp*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345683-F*Enfermeria*yes*P@ssw0rd123!*365*jariasp@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Enfermeria-01
EVA*PELLICER JUAN*PELLICER*JUAN*epellicerj*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345684-G*Enfermeria*yes*P@ssw0rd123!*365*epellicerj@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Enfermeria-02
RODRIGO*GALLEGO CHAVES*GALLEGO*CHAVES*rgallegoc*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345685-H*Enfermeria*yes*P@ssw0rd123!*365*rgallegoc@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Enfermeria-03
JOHANN*AGUILAR ALBA*AGUILAR*ALBA*jaguilara*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345686-I*Enfermeria*yes*P@ssw0rd123!*365*jaguilara@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Enfermeria-04
PEPE*SANCHO CARVALHO*SANCHO*CARVALHO*psanchoc*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345687-J*Enfermeria*yes*P@ssw0rd123!*365*psanchoc@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Enfermeria-05
SARA*ZAMBUJO CAMPOS*ZAMBUJO*CAMPOS*szambujoc*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345688-K*Enfermeria*yes*P@ssw0rd123!*365*szambujoc@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Enfermeria-06
ISABEL*RUIZ MONCHO*RUIZ*MONCHO*iruizm*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345689-L*Enfermeria*yes*P@ssw0rd123!*365*iruizm@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Enfermeria-07
FRANCISCO*COELLO ALABAU*COELLO*ALABAU*fcoelloa*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345690-L*Enfermeria*yes*P@ssw0rd123!*365*fcoelloa@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Enfermeria-08
BASILIO*PUJOL GOMIS*PUJOL*GOMIS*bpujolg*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345691-N*Enfermeria*yes*P@ssw0rd123!*365*bpujolg@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Enfermeria-09
MARIO*JUAN VALENCIA*JUAN*VALENCIA*mjuanv*OU=Usuarios-Enfermeria,OU=Dep-Enfermeria,dc=hospitallaplana,dc=mylocal*HLP-GG-Enfermeria*12345692-O*Enfermeria*yes*P@ssw0rd123!*365*mjuanv@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Enfermeria-10
IGNACIO*CHAVES VARGAS*CHAVES*VARGAS*ichavesv*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345693-P*Informatica*yes*P@ssw0rd123!*365*ichavesv@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Informatica-01
LAURA*ALBA ARIAS*ALBA*ARIAS*lalbaa*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345694-Q*Informatica*yes*P@ssw0rd123!*365*lalbaa@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Informatica-02
JORGE*CARVALHO PELLICER*CARVALHO*PELLICER*jcarvalhop*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345695-R*Informatica*yes*P@ssw0rd123!*365*jcarvalhop@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Informatica-03
ANTONIO*CAMPOS GALLEGO*CAMPOS*GALLEGO*acamposg*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345696-S*Informatica*yes*P@ssw0rd123!*365*acamposg@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Informatica-04
CLAUDIO*MONCHO AGUILAR*MONCHO*AGUILAR*cmonchoa*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345697-T*Informatica*yes*P@ssw0rd123!*365*cmonchoa@hospitallaplana.mylocal*L-V,07:00-15:00*PC-Informatica-05
PEPE*CHAVES CAMPOS*CHAVES*CAMPOS*pchavesc*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345698-U*Informatica*yes*P@ssw0rd123!*365*pchavesc@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Informatica-06
SARA*ALBA MONCHO*ALBA*MONCHO*salbam*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345699-V*Informatica*yes*P@ssw0rd123!*365*salbam@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Informatica-07
ISABEL*CARVALHO ALABAU*CARVALHO*ALABAU*icarvalhoa*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345700-W*Informatica*yes*P@ssw0rd123!*365*icarvalhoa@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Informatica-08
FRANCISCO*CAMPOS GOMIS*CAMPOS*GOMIS*fcamposg*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345701-X*Informatica*yes*P@ssw0rd123!*365*fcamposg@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Informatica-09
BASILIO*MONCHO COELLO*MONCHO*COELLO*bmonchoc*OU=Usuarios-Informatica,OU=Dep-Informatica,dc=hospitallaplana,dc=mylocal*HLP-GG-Informatica*12345702-Y*Informatica*yes*P@ssw0rd123!*365*bmonchoc@hospitallaplana.mylocal*L-V,15:00-23:00*PC-Informatica-10
MARIO*JUAN PUJOL*JUAN*PUJOL*mjuanp*OU=Usuarios-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal*HLP-GG-Formacion*12345703-Z*Formacion*yes*P@ssw0rd123!*365*mjuanp@hospitallaplana.mylocal*L-V,09:00-14:00*PC-Formacion-01
IGNACIO*CHAVES JUAN*CHAVES*JUAN*ichavesj*OU=Usuarios-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal*HLP-GG-Formacion*12345704-A*Formacion*yes*P@ssw0rd123!*365*ichavesj@hospitallaplana.mylocal*L-V,09:00-14:00*PC-Formacion-02
LAURA*ALBA ALABAU*ALBA*ALABAU*lalbaal*OU=Usuarios-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal*HLP-GG-Formacion*12345705-B*Formacion*yes*P@ssw0rd123!*365*lalbaal@hospitallaplana.mylocal*L-V,16:00-19:00*PC-Formacion-03
JORGE*CARVALHO GOMIS*CARVALHO*GOMIS*jcarvalhog*OU=Usuarios-Formacion,OU=Dep-Formacion,dc=hospitallaplana,dc=mylocal*HLP-GG-Formacion*12345706-C*Formacion*yes*P@ssw0rd123!*365*jcarvalhog@hospitallaplana.mylocal*L-V,16:00-19:00*PC-Formacion-04
